"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Alcance,"Me gusta","Veces que se compartió","Visitas al perfil",Respuestas,Navegación,"Clics en el enlace",Seguimientos,"Toques en stickers"
18022858639933935,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,8,"12/23/2023 18:02",,"Historia de Instagram",,Total,710,7,0,4,0,679,,,
18405959440005504,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","La actitud ante todo",3,"12/23/2023 09:05",,"Historia de Instagram",,Total,289,2,0,,0,248,,,
18035441773642147,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Me gusta 😻",0,"12/23/2023 09:05",,"Historia de Instagram",,Total,336,2,0,,0,309,,,
18022992640743856,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Esto me salió en Youtube Music. He tenido varios sueños de un arcoiris en la oscuridad, así que sí soy, al menos parcialmente.",0,"12/23/2023 09:05",,"Historia de Instagram",,Total,473,3,0,1,0,450,,,
17905883465816006,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Que tengas
buen fin de semana!",0,"12/22/2023 16:27",,"Historia de Instagram",,Total,1133,5,0,3,0,1127,,,
18027994789840896,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,10,"12/20/2023 15:54",,"Historia de Instagram",,Total,630,3,0,,1,618,,,
18059651443450884,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Buen provecho!",0,"12/20/2023 15:51",,"Historia de Instagram",,Total,847,4,0,3,0,849,,,
17910396140793690,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Las sombras
también bailan",4,"12/19/2023 14:14",,"Historia de Instagram",,Total,12620,5,0,40,0,9377,,,
18111287869348600,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Buen inicio de semana!",0,"12/18/2023 15:36",,"Historia de Instagram",,Total,861,6,0,6,0,871,,,
17948576648725963,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","La noche que el diablo
 perdió la cola",6,"12/16/2023 15:13",,"Historia de Instagram",,Total,2566,4,0,8,0,2547,,,
17881397654987114,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Únete a la conversación",3,"12/15/2023 16:33",,"Historia de Instagram",,Total,542,2,0,4,0,524,,,
17989320500305671,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,2,"12/14/2023 19:09",https://instagram.com/stories/jessonirica/3258050081717513274,"Historia de Instagram",,Total,294,1,0,,0,222,,,
17896964270927308,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,37,"12/14/2023 19:09",https://instagram.com/stories/jessonirica/3258049854109634376,"Historia de Instagram",,Total,375,7,0,2,0,297,,,
17967685766521935,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Ya estoy lista para empezar el conversatorio sobre sueños Premonitorios",0,"12/14/2023 16:53",,"Historia de Instagram",,Total,1168,5,0,15,0,1160,,,
18008389859143961,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"12/13/2023 11:14",,"Historia de Instagram",,Total,183,1,0,,0,195,3,,
17984448551572170,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Tengo algo
Para ti en
la siguiente
Historia!",3,"12/13/2023 11:14",,"Historia de Instagram",,Total,207,1,0,1,0,189,,,
17957046776703799,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"12/13/2023 11:14",,"Historia de Instagram",,Total,316,1,0,3,0,317,,,
18249836641225178,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","En el Pre Guadalupe - Reyes",0,"12/10/2023 13:19",,"Historia de Instagram",,Total,4225,1,0,23,0,4257,,,
18002356781257032,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"12/09/2023 08:55",,"Historia de Instagram",,Total,316,1,0,,0,305,3,,
17976608045630163,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Estuvo reñida la votación! Ya te puedes registrar al conversatorio en la siguiente historia",4,"12/09/2023 08:53",,"Historia de Instagram",,Total,492,1,0,4,0,452,,,
17989877630298072,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¿Qué tema prefieres
para la siguiente clase
gratuita?",0,"12/08/2023 07:53",,"Historia de Instagram",,Total,526,6,0,1,3,528,,,
18216436915265394,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Gracias a quienes asistieron al webinar ayer!",0,"12/08/2023 07:40",,"Historia de Instagram",,Total,627,1,0,2,1,614,,,
17947307630725460,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Para registrarte!",5,"12/05/2023 12:04",,"Historia de Instagram",,Total,225,1,0,1,1,218,,,
18018486208797568,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Buen provecho!",0,"12/05/2023 12:00",,"Historia de Instagram",,Total,360,3,0,2,0,366,,,
17993311121383947,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"12/04/2023 07:31",,"Historia de Instagram",,Total,177,1,0,1,0,173,1,,
18009826801936789,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"12/04/2023 07:31",,"Historia de Instagram",,Total,191,0,0,1,0,178,,,
18019191229913817,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"12/04/2023 07:31",,"Historia de Instagram",,Total,212,1,0,2,0,186,,,
17982256943374746,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"12/04/2023 07:31",,"Historia de Instagram",,Total,292,0,0,1,0,253,,,
18402461164063760,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¿Has tenido
un sueño que se siente
muy real?",0,"12/03/2023 13:30",,"Historia de Instagram",,Total,2504,2,0,7,0,2540,,,
18317410606142510,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Estoy haciendo mi práctica de #31díasdegratitud en Threads. Si quieres unirte, sigueme por allá",0,"12/02/2023 09:14",,"Historia de Instagram",,Total,1049,2,0,8,0,1067,,,
17925639818719959,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"12/01/2023 06:06",,"Historia de Instagram",,Total,299,2,0,2,0,301,2,,
17933438987683652,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¿Asistirías a un webinar GRATUITO sobre Sueños Premonitorios?",3,"12/01/2023 06:05",,"Historia de Instagram",,Total,402,2,0,,0,351,,,
17955830441663857,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Ya tengo todo listo para regalar sueños más tarde!",0,"11/29/2023 07:28",,"Historia de Instagram",,Total,363,2,0,2,0,353,,,
18105582979360596,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¿Te has sentido incomprendida cuando tienes sueños premonitorios?",0,"11/27/2023 09:57",,"Historia de Instagram",,Total,4916,3,0,40,3,4955,,,
18276727513086136,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"11/25/2023 15:43",,"Historia de Instagram",,Total,2559,3,0,13,1,2293,,,
17995167398516166,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"11/23/2023 14:06",,"Historia de Instagram",,Total,907,4,0,5,0,819,,,
18010432106076254,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,4,"11/22/2023 20:18",,"Historia de Instagram",,Total,567,3,0,9,1,573,,,
17980893272572031,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Qué emoción!
Pronto les compartiré los detalles de este curso.",3,"11/21/2023 10:17",,"Historia de Instagram",,Total,1866,2,0,8,0,1621,,1,
17859631320054028,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Desayunando mientras planeo un curso de sueños premonitorios",0,"11/20/2023 09:44",,"Historia de Instagram",,Total,7545,3,0,56,0,7450,,,
17870940521966203,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Qué bonito
verla en 3D",7,"11/17/2023 19:44",,"Historia de Instagram",,Total,523,5,0,2,0,531,,,
17948325989708984,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Bonito fin de semana!",3,"11/17/2023 15:38",,"Historia de Instagram",,Total,1688,5,0,7,0,1534,,,
18394933006010002,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",Sueños,0,"11/14/2023 15:09",,"Historia de Instagram",,Total,1117,5,0,13,0,1124,,,
17959945886545579,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Que tengas buen inicio de semana Saludos desde",0,"11/13/2023 10:39",,"Historia de Instagram",,Total,4649,11,0,15,0,4643,,,
17998946678246714,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Bonita tarde!",0,"11/12/2023 16:00",,"Historia de Instagram",,Total,470,5,0,8,0,506,,,
17923750001719352,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"11/12/2023 15:12",,"Historia de Instagram",,Total,444,4,0,2,0,444,,,
17850634884084520,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,4,"11/12/2023 15:11",,"Historia de Instagram",,Total,508,2,0,1,0,497,,,
17997766319093070,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Sueños 
despiertos",0,"11/12/2023 13:10",,"Historia de Instagram",,Total,1321,5,0,8,0,1345,,,
18039880114575397,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Me gustó mucho!",3,"11/11/2023 08:32",,"Historia de Instagram",,Total,851,1,0,4,0,817,,1,
18056964337482700,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Honrando los sueños de mis seguidores",6,"11/09/2023 08:19",,"Historia de Instagram",,Total,158,0,0,1,1,296,,,
18014978665799172,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Honrando los sueños de mis seguidores 🙌",7,"11/09/2023 08:17",,"Historia de Instagram",,Total,162,0,0,1,0,292,,,
18087853291379636,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Honrando los 
sueños de mis seguidores 🙌",7,"11/09/2023 08:15",,"Historia de Instagram",,Total,174,0,0,2,1,354,,,
18012139780978631,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Una posibilidad de este sueño es preguntarte si hay algo en tu vida que te incomoda",4,"11/09/2023 08:14",,"Historia de Instagram",,Total,213,0,0,2,1,386,,,
17987857904252791,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Honrando los 
sueños de mis 
seguidores 🙌",8,"11/08/2023 19:20",,"Historia de Instagram",,Total,323,1,0,3,0,419,,,
17978848769605923,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Soñé con varios perros que hablaban",0,"11/08/2023 09:14",,"Historia de Instagram",,Total,843,1,0,9,0,844,,,
18030727684722432,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Estoy muy orgullosa del trabajo que hacemos en @ekrmexico",0,"11/05/2023 16:04",,"Historia de Instagram",,Total,831,1,0,3,0,852,,,
18397182868016929,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Que los sueños
te acompañen",0,"11/05/2023 14:10",,"Historia de Instagram",,Total,1169,3,0,9,0,1200,,,
17873531243989876,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",¡Provecho!,5,"11/03/2023 20:01",,"Historia de Instagram",,Total,2093,5,0,9,0,1978,,,
17985411503290707,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Les presento  Un increíble proyecto para fomentar el autoestima en los niños y prevenir la depresión y ansiedad",21,"11/02/2023 15:34",,"Historia de Instagram",,Total,654,3,0,4,0,715,,,
17857357266050528,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Una tlayuda para cerrar mi viaje a  Gracias @ekrmexico por la oportunidad",0,"11/01/2023 15:23",,"Historia de Instagram",,Total,1395,2,0,7,0,1404,,,
18073948381420263,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Y quesadilla de chapulines",3,"11/01/2023 10:17",,"Historia de Instagram",,Total,382,2,0,,0,298,,,
17966100773640496,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Chocolate,
pan de muerto
y café de Oaxaca",0,"11/01/2023 10:15",,"Historia de Instagram",,Total,537,4,0,2,0,528,,,
18034512256608070,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"10/31/2023 17:08",,"Historia de Instagram",,Total,273,1,0,1,0,268,,,
18011401732977697,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",¡Provecho!,0,"10/31/2023 16:37",,"Historia de Instagram",,Total,307,2,0,,0,292,,,
18016464256757499,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Es mi noche!",3,"10/31/2023 15:15",,"Historia de Instagram",,Total,331,4,0,,0,304,,,
17999035880239455,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Gracias por seguirme!",0,"10/31/2023 09:42",,"Historia de Instagram",,Total,346,3,0,1,0,328,,,
17933108567670030,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Buenos días!",0,"10/31/2023 08:00",,"Historia de Instagram",,Total,412,6,0,,0,411,,,
18007876934020700,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,20,"10/30/2023 16:25",,"Historia de Instagram",,Total,302,2,0,1,0,297,,,
18272236114082552,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Está bien bonito 😻",3,"10/30/2023 12:44",,"Historia de Instagram",,Total,174,1,0,,0,167,,,
18033088555615722,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Más detalles del portavasos en la siguiente historia 😽",0,"10/30/2023 12:41",,"Historia de Instagram",,Total,202,0,0,,0,198,,,
17994478157115556,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Si estás en  Estaré con @ekrmexico 
presentando @thelastecstaticdays",3,"10/30/2023 11:16",,"Historia de Instagram",,Total,275,0,0,1,0,271,,,
17844089583086816,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"10/29/2023 15:11",,"Historia de Instagram",,Total,7241,5,0,29,0,7235,,,4
17981686640325380,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"10/27/2023 20:09",,"Historia de Instagram",,Total,835,0,0,6,2,874,,,
18107075224352642,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,8,"10/26/2023 15:54",,"Historia de Instagram",,Total,569,0,0,2,0,561,,,
17998018973057596,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Adivina dónde estoy!",0,"10/25/2023 17:58",,"Historia de Instagram",,Total,2591,2,0,16,0,2619,,,
17904784730850550,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Buenos días",0,"10/23/2023 10:12",,"Historia de Instagram",,Total,1567,3,0,6,0,1616,,,
17885437439943819,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Buenos días",0,"10/19/2023 09:17",,"Historia de Instagram",,Total,1533,2,0,14,0,1623,,,
17991251960141979,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Buenos días",0,"10/16/2023 10:19",,"Historia de Instagram",,Total,6409,8,0,21,0,6576,,,
18207687037262756,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Que tengas bonito fin de semana!",0,"10/14/2023 17:30",,"Historia de Instagram",,Total,5121,8,0,32,2,5180,,,
18307794460112164,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Bonita tarde",4,"10/11/2023 16:26",,"Historia de Instagram",,Total,528,4,0,10,0,513,,,
17995514285247637,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Estoy colaborando en este entrenamiento presencial para @ekrmexico",0,"10/05/2023 13:43",,"Historia de Instagram",,Total,801,1,0,5,0,802,,,
17975277797544957,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Buen provecho",0,"10/04/2023 13:57",,"Historia de Instagram",,Total,1213,4,0,9,0,1221,,,
17975166767348218,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,15,"10/03/2023 05:00",,"Historia de Instagram",,Total,228,2,0,2,0,243,,,
17996791787483100,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"10/02/2023 10:20",,"Historia de Instagram",,Total,232,1,0,,0,225,,,
18288805624123033,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,5,"10/02/2023 10:19",,"Historia de Instagram",,Total,261,1,0,,1,245,,,
17896068728870481,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"10/02/2023 10:17",,"Historia de Instagram",,Total,414,2,0,,0,438,,,
