identificador_de_la_publicacion,identificador_de_la_cuenta,nombre_de_usuario_de_la_cuenta,nombre_de_la_cuenta,descripcion,duracion_segundos,hora_de_publicacion,enlace_permanente,tipo_de_publicacion,comentario_sobre_los_datos,fecha,alcance,me_gusta,veces_que_se_compartio,visitas_al_perfil,respuestas,navegacion,clics_en_el_enlace,seguimientos,toques_en_stickers,visualizaciones,sentimiento
18211375150205780,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-01-06 19:11:00,,Historia de Instagram,,Total,,2,0,,0,,,,,,-2.0
18027921742445813,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-01-06 19:11:00,,Historia de Instagram,,Total,,3,0,,0,,,,,,-2.0
18170511118261140,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-01-06 19:11:00,,Historia de Instagram,,Total,,1,0,,0,,,,,,-2.0
18200137564212390,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-01-06 19:11:00,,Historia de Instagram,,Total,,1,0,,0,,,,,,-2.0
17922076715644106,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-01-06 19:11:00,,Historia de Instagram,,Total,,1,0,,0,,,,,,-2.0
17885790410708570,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,5,2023-01-06 19:11:00,,Historia de Instagram,,Total,,3,0,,0,,,,,,-2.0
18160282447282815,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-01-06 19:14:00,,Historia de Instagram,,Total,,2,0,,0,,,,,,-2.0
18264852451119921,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-01-07 09:41:00,,Historia de Instagram,,Total,,2,0,,0,,,,,,-2.0
17952671939199849,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",¡A ahorrar para los tamales!,0,2023-01-08 08:58:00,,Historia de Instagram,,Total,,4,0,,0,,,,,,0.0
17962323986187219,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",Oficialmente se acabó el Guadalupe -Reyes,0,2023-01-08 13:04:00,,Historia de Instagram,,Total,,5,0,,0,,,,,,0.0
18020562475476887,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",Te regalo un mensaje para comenzar la semana,13,2023-01-09 10:30:00,,Historia de Instagram,,Total,,9,0,,0,,,,,,0.0
17854186166865274,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",Eres Luz,3,2023-01-09 10:31:00,,Historia de Instagram,,Total,,2,0,,0,,,,,,0.0
17972258654055108,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-01-09 17:25:00,https://instagram.com/stories/jessonirica/3012298332760832394,Historia de Instagram,,Total,268.0,7,0,1.0,0,,,,,,-2.0
17934420959610838,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,8,2023-01-09 17:26:00,,Historia de Instagram,,Total,170.0,6,0,4.0,0,,,,,,-2.0
17978817646913118,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Ya tengo muchas preguntas para la transmisión de al rato.
Ahí te espero!",3,2023-01-10 11:50:00,,Historia de Instagram,,Total,,7,0,,0,,,,,,0.0
17950220429396507,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",¡Buenos días!,0,2023-01-11 07:02:00,,Historia de Instagram,,Total,,6,0,,0,,,,,,0.0
17970505918917951,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,7,2023-01-11 10:48:00,,Historia de Instagram,,Total,,4,0,,0,,,,,,-2.0
18033549457427726,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,16,2023-01-12 10:08:00,,Historia de Instagram,,Total,,10,0,,0,,,,,,-2.0
18003229534570308,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,2023-01-12 10:38:00,,Historia de Instagram,,Total,,6,0,,0,,,,,,-2.0
18021685669467159,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",¡Cuenta regresiva!,0,2023-01-12 13:49:00,,Historia de Instagram,,Total,,3,0,,0,,,,,,0.0
17980691428880037,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,30,2023-01-13 15:36:00,,Historia de Instagram,,Total,,13,0,,0,,,,,,-2.0
17953482914218010,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,15,2023-01-15 15:03:00,,Historia de Instagram,,Total,,11,0,,0,,,,,,-2.0
17971063448064768,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",Un mensaje para comenzar la semana,8,2023-01-16 08:54:00,,Historia de Instagram,,Total,,4,0,,0,,,,,,0.0
17987275039752447,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",Cambios,5,2023-01-16 08:55:00,,Historia de Instagram,,Total,,4,0,,0,,,,,,0.0
17956010867342740,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,30,2023-01-16 11:22:00,,Historia de Instagram,,Total,,7,0,,0,,,,,,-2.0
17962129184237118,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",¡Ya empezamos el círculo de sueños!,0,2023-01-16 17:20:00,,Historia de Instagram,,Total,,7,0,,0,,,,,,0.0
18088752265314088,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,8,2023-01-16 18:41:00,,Historia de Instagram,,Total,,2,0,,0,,,,,,-2.0
17972690885068914,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,46,2023-01-17 08:50:00,,Historia de Instagram,,Total,,1,0,,0,,,,,,-2.0
17861193683862847,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-01-18 08:30:00,,Historia de Instagram,,Total,,5,0,,0,,,,,,-2.0
18013489978507853,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",Es un honor ser parte de la Fundación @ekrmexico,0,2023-01-20 10:23:00,,Historia de Instagram,,Total,,1,0,,0,,,,,,0.0
17990189329734829,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",Lectura para la luna nueva  @themoonismycalendar,6,2023-01-21 07:29:00,,Historia de Instagram,,Total,,2,0,,0,,,,,,0.0
18045060568397759,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",Puedes escribir una intención que tengas y meditar sobre ella.,3,2023-01-21 10:00:00,,Historia de Instagram,,Total,,3,0,,0,,,,,,0.0
17898472835739172,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",¡Comienza mi viaje para ver a @muse mañana!,7,2023-01-21 14:48:00,,Historia de Instagram,,Total,,7,0,,0,,,,,,0.0
17974409050893956,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,15,2023-01-22 12:37:00,,Historia de Instagram,,Total,,12,0,,0,,,,,,-2.0
18059875228340678,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",¡Ya casi empieza!,0,2023-01-22 17:37:00,,Historia de Instagram,,Total,,7,0,,0,,,,,,0.0
17918121578593030,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,4,2023-01-22 23:08:00,,Historia de Instagram,,Total,,8,0,,0,,,,,,-2.0
17916236393670110,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Just in a DREAM
Come on and rescue me  Sólo en un SUEÑO
Ven y rescátame",8,2023-01-22 23:14:00,,Historia de Instagram,,Total,,9,0,,0,,,,,,0.0
17917458473669454,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Lloré en Starlight
Porque me acordé de mi amiga Ana Kin, con quién siempre iba a ver a Muse y falleció en el 2019",8,2023-01-22 23:19:00,,Historia de Instagram,,Total,,9,0,,0,,,,,,0.0
18039287659381960,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,12,2023-01-23 19:50:00,,Historia de Instagram,,Total,,8,0,,0,,,,,,-2.0
17943928370379702,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,8,2023-01-23 19:57:00,,Historia de Instagram,,Total,,5,0,,0,,,,,,-2.0
17888394140774728,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,24,2023-01-25 11:39:00,https://instagram.com/stories/jessonirica/3023720746056576488,Historia de Instagram,,Total,356.0,11,0,1.0,0,,,,,,-2.0
18358338034050473,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",Cocreando sueños para @ekrmexico,9,2023-01-25 13:50:00,,Historia de Instagram,,Total,,3,0,,0,,,,,,0.0
17972346629042752,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-01-25 14:21:00,,Historia de Instagram,,Total,,1,0,,0,,,,,,-2.0
17967993800133558,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-01-25 14:21:00,,Historia de Instagram,,Total,,4,0,,0,,,,,,-2.0
17973423701049589,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",Nuestros sueños permanecen con nosotros. Nos ayudan a abrir el corazón en el momento de mayor miedo.,0,2023-01-25 14:27:00,,Historia de Instagram,,Total,,0,0,,0,,,,,,0.0
18032867170435905,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,15,2023-01-27 14:58:00,,Historia de Instagram,,Total,,19,0,,0,,,,,,-2.0
17986372165840125,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,9,2023-01-28 09:58:00,,Historia de Instagram,,Total,,3,0,,0,,,,,,-2.0
17943391286391058,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,14,2023-01-28 10:00:00,,Historia de Instagram,,Total,,3,0,,0,,,,,,-2.0
17959414139509766,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,15,2023-01-28 10:00:00,,Historia de Instagram,,Total,,1,0,,0,,,,,,-2.0
17995195150648556,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,25,2023-01-28 10:01:00,,Historia de Instagram,,Total,,1,0,,0,,,,,,-2.0
18043897255406699,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,10,2023-01-29 14:39:00,,Historia de Instagram,,Total,,6,0,,0,,,,,,-2.0
17984538319872285,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,19,2023-01-30 11:48:00,,Historia de Instagram,,Total,4.0,4,0,,0,,,,,,-2.0
18011232577535949,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",¿Quieres saber cómo?,0,2023-01-30 11:50:00,,Historia de Instagram,,Total,2.0,3,0,,0,,,,,,0.0
18002069929590304,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",¡Ya tengo un curso!,10,2023-01-30 15:36:00,,Historia de Instagram,,Total,5.0,3,0,,0,2.0,,,,,0.0
18265776082143311,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,2023-01-31 10:06:00,,Historia de Instagram,,Total,1216.0,4,0,15.0,3,987.0,,,,,-2.0
18335376778062640,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,15,2023-02-02 11:41:00,,Historia de Instagram,,Total,895.0,8,0,9.0,0,918.0,,,,,-2.0
18350012749024161,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,2023-02-02 11:43:00,,Historia de Instagram,,Total,573.0,0,0,4.0,0,572.0,8.0,,,,-2.0
17859097052852973,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-02-04 09:59:00,,Historia de Instagram,,Total,2014.0,3,0,21.0,0,2098.0,,2.0,,,-2.0
17981260231813490,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Un mensaje para
Comenzar la
Semana",7,2023-02-06 09:09:00,,Historia de Instagram,,Total,1782.0,10,0,9.0,0,1471.0,,1.0,,,0.0
18029498278422310,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",Los sueños pueden crear cambios que hacen olas,6,2023-02-06 09:11:00,,Historia de Instagram,,Total,1333.0,7,0,11.0,0,1229.0,19.0,,,,0.0
17874462443785561,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,8,2023-02-06 16:59:00,,Historia de Instagram,,Total,1103.0,9,0,10.0,2,1104.0,,,,,-2.0
17976113725993668,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,5,2023-02-08 17:33:00,,Historia de Instagram,,Total,1483.0,1,0,9.0,0,1273.0,,,,,-2.0
18340696168004121,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",A punto de empezar el Death Café con @ekrmexico,0,2023-02-08 17:34:00,,Historia de Instagram,,Total,1122.0,2,0,9.0,1,1137.0,,,,,0.0
18270244759114814,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",Yo estoy detrás de la cámara 🙈,30,2023-02-08 17:36:00,,Historia de Instagram,,Total,872.0,7,0,8.0,0,865.0,,,,,0.0
18203310439209627,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-02-08 17:37:00,,Historia de Instagram,,Total,931.0,4,0,9.0,0,936.0,,,2.0,,-2.0
18252696478178051,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",Voy a facilitar este taller junto a mis compañeras de @ekrmexico,0,2023-02-10 11:17:00,,Historia de Instagram,,Total,1345.0,2,0,20.0,0,1357.0,,,,,0.0
17896248707757013,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-02-10 11:18:00,,Historia de Instagram,,Total,928.0,3,0,4.0,0,953.0,,,,,-2.0
18217878370206744,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,10,2023-02-14 08:44:00,,Historia de Instagram,,Total,2026.0,13,1,12.0,2,1855.0,,,,,-2.0
17960063447168343,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-02-14 18:43:00,,Historia de Instagram,,Total,1392.0,5,0,8.0,1,1401.0,,,,,-2.0
17975389067062875,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-02-14 19:21:00,,Historia de Instagram,,Total,1029.0,4,0,2.0,0,1069.0,,,,,-2.0
17978584297971800,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-02-14 19:22:00,,Historia de Instagram,,Total,873.0,2,0,1.0,0,916.0,,,,,-2.0
17997830524635205,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-02-14 19:22:00,,Historia de Instagram,,Total,814.0,3,0,1.0,1,836.0,,,,,-2.0
17913341861697584,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-02-14 19:23:00,,Historia de Instagram,,Total,778.0,1,0,1.0,0,800.0,,,,,-2.0
17992883164704045,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-02-14 19:24:00,,Historia de Instagram,,Total,736.0,1,0,2.0,1,782.0,3.0,,,,-2.0
17963164817491977,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",Trabajando en el taller de Lenguaje Simbólico para @ekrmexico,3,2023-02-15 17:50:00,,Historia de Instagram,,Total,923.0,4,0,14.0,0,806.0,,,,,0.0
18259762273193083,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,11,2023-02-20 08:58:00,,Historia de Instagram,,Total,1485.0,7,0,13.0,0,1345.0,,,,,-2.0
18246602038195194,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Cómo tus sueños
Pueden ayudarte",5,2023-02-20 09:02:00,,Historia de Instagram,,Total,1019.0,3,0,7.0,0,1038.0,14.0,,,,0.0
17922002795668769,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,8,2023-02-20 19:39:00,,Historia de Instagram,,Total,1299.0,10,1,20.0,1,1317.0,,1.0,,,-2.0
18094038190312374,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¿Quieres que
Interprete tu
Sueño GRATIS?",4,2023-02-25 12:01:00,,Historia de Instagram,,Total,2716.0,9,1,35.0,1,2281.0,69.0,1.0,,,0.0
18352721005027414,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",¡Gracias a quienes me comparten sus sueños!,5,2023-02-25 16:47:00,https://instagram.com/stories/jessonirica/3046343679639621755,Historia de Instagram,,Total,1575.0,7,0,12.0,0,1454.0,,,,,0.0
18359836060048911,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",Hoy comenzamos este curso en @ekrmexico,4,2023-02-25 18:03:00,,Historia de Instagram,,Total,1198.0,3,0,8.0,0,1153.0,,,2.0,,0.0
17973534817973134,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,10,2023-02-27 10:47:00,,Historia de Instagram,,Total,1239.0,7,1,3.0,1,1026.0,,,,,-2.0
17966637113194074,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,10,2023-02-27 10:47:00,,Historia de Instagram,,Total,1629.0,9,0,16.0,2,1367.0,,,,,-2.0
18245458939154891,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,24,2023-02-27 10:48:00,,Historia de Instagram,,Total,1095.0,13,0,12.0,1,1100.0,17.0,,,,-2.0
17952575162330440,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Ve a la siguiente
 historia",4,2023-03-04 10:19:00,,Historia de Instagram,,Total,1358.0,6,0,9.0,0,1201.0,,,,,0.0
17994490177631044,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,2023-03-04 10:20:00,,Historia de Instagram,,Total,1014.0,6,1,5.0,1,992.0,30.0,,,,-2.0
18044092801380891,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,10,2023-03-06 09:47:00,,Historia de Instagram,,Total,1505.0,9,0,14.0,0,1370.0,,,,,-2.0
18198759442222413,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-03-06 09:48:00,,Historia de Instagram,,Total,1193.0,6,0,7.0,0,1196.0,,,,,-2.0
17891655647785459,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,9,2023-03-06 18:15:00,,Historia de Instagram,,Total,1209.0,10,1,14.0,0,1213.0,,1.0,,,-2.0
17889380192792886,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-03-07 18:11:00,,Historia de Instagram,,Total,1046.0,1,0,4.0,0,1101.0,,,,,-2.0
17985684025770710,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-03-07 18:11:00,,Historia de Instagram,,Total,692.0,1,0,2.0,0,741.0,,1.0,,,-2.0
17945658872570399,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-03-07 18:11:00,,Historia de Instagram,,Total,607.0,1,1,,0,640.0,,,,,-2.0
18044888704419146,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-03-07 18:12:00,,Historia de Instagram,,Total,559.0,1,0,2.0,0,589.0,,,,,-2.0
17991758029716971,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-03-07 18:12:00,,Historia de Instagram,,Total,544.0,0,0,,0,561.0,,,,,-2.0
17933820911521006,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-03-07 18:13:00,,Historia de Instagram,,Total,537.0,1,0,,0,539.0,,,,,-2.0
18330592033069083,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-03-07 18:16:00,,Historia de Instagram,,Total,518.0,5,1,2.0,1,520.0,,,,,-2.0
17964462095141949,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,13,2023-03-08 13:41:00,,Historia de Instagram,,Total,1545.0,9,1,1.0,1,1383.0,,,,,-2.0
18056234098375813,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,18,2023-03-08 14:02:00,,Historia de Instagram,,Total,1307.0,7,0,5.0,2,1239.0,,,,,-2.0
17946852671412228,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",Todas somos una,0,2023-03-08 14:46:00,,Historia de Instagram,,Total,1223.0,9,0,18.0,2,1263.0,,,,,0.0
17968746908212984,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Cumplí un sueño
De mi bebé",8,2023-03-11 18:42:00,,Historia de Instagram,,Total,3538.0,12,0,26.0,0,3192.0,,,,,0.0
17996845480683815,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,5,2023-03-12 11:31:00,,Historia de Instagram,,Total,1640.0,3,0,12.0,0,1487.0,,,,,-2.0
17991856771837104,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,4,2023-03-12 12:38:00,,Historia de Instagram,,Total,1243.0,2,0,7.0,0,1177.0,,,,,-2.0
18074821918351884,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,12,2023-03-13 09:17:00,,Historia de Instagram,,Total,1550.0,7,0,8.0,0,1314.0,,,,,-2.0
17995882963704049,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-03-13 09:20:00,,Historia de Instagram,,Total,1225.0,4,0,,0,1189.0,,,,,-2.0
18000497461715178,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,7,2023-03-13 12:00:00,,Historia de Instagram,,Total,1124.0,3,0,6.0,0,1046.0,,,,,-2.0
18210129382215598,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Ofreceré uno el
5 de Abril  Pronto más información",4,2023-03-13 12:03:00,,Historia de Instagram,,Total,979.0,1,0,9.0,1,910.0,,1.0,,,0.0
17895389507780486,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,37,2023-03-16 23:04:00,,Historia de Instagram,,Total,788.0,6,0,4.0,0,778.0,,,,,-2.0
18001870444635287,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,9,2023-03-16 23:05:00,,Historia de Instagram,,Total,539.0,1,0,1.0,0,486.0,,,,,-2.0
17963306642342764,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,9,2023-03-16 23:05:00,,Historia de Instagram,,Total,481.0,3,0,2.0,0,430.0,,1.0,,,-2.0
17964070445156150,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,9,2023-03-16 23:06:00,,Historia de Instagram,,Total,450.0,1,0,1.0,0,418.0,,,,,-2.0
